Bậc,Lương cơ bản (Triệu),Thợ Nữ + (Triệu),Kinh nghiệm,Kĩ năng,Hoa hồng (%),Chế độ
1,5,1,Mới học nghề (thiếu kĩ năng),-,3,"Sau mỗi 6th tăng 10% lương cb; Hoặc xem xét nâng bậc dựa trên điểm chuyên cần và nâng cao kĩ thuật"
2,6,1,Trên 2 năm,"Gội - sấy + tạo kiểu - lên trục - canh thuốc",4,"Sau 3th được hưởng 1% KPI doanh thu 40tr và 2% 80tr; 9th tăng 10% lương CB 1 lần"
3,7,1,Trên 4 năm,"Gội tốt - massage tốt - sấy + tạo kiểu - lên trục - canh thuốc - thuộc các dòng sp chăm sóc và tư vấn khách hàng",5,"Sau 3th được hưởng 1% KPI doanh thu 40tr và 2% 80tr; 12th tăng 10% lương CB 1 lần"
